学校音乐学院深入开展形式多样的考试改革探索,2022-05-18,http://www.cqwu.edu.cn/article_331091.html,音乐学院隋剑飞,599
学校召开本学期第三次学生工作例会,2022-05-18,http://www.cqwu.edu.cn/article_331092.html,党委学生工作部陈胜男,502
全市第三期驻村第一书记及驻村工作队员示范培训班在我校成功举办,2022-05-17,http://www.cqwu.edu.cn/article_331039.html,乡村振兴学院,676
学校举办2022年思政课教师教学创新竞赛,2022-05-17,http://www.cqwu.edu.cn/article_331032.html,马克思主义学院曾福文,751
学校举行第五次设岗聘用工作推进会,2022-05-16,http://www.cqwu.edu.cn/article_330950.html,人事处崔瑞夫,1255
新疆维吾尔自治区木垒县委副书记林立鹏带队来校调研乡村振兴工作,2022-05-16,http://www.cqwu.edu.cn/article_330949.html,乡村振兴学院,715
我校多名教师入选中国机械工业教育协会高等工程教育学科专业教学委员会委员,2022-05-16,http://www.cqwu.edu.cn/article_330948.html,智能制造工程学院贺小龙,695
学校召开网络安全态势分析及保障工作布置会,2022-05-14,http://www.cqwu.edu.cn/article_331315.html,信息化办公室余敏,252
学校开展第六届重庆市高校青年教师教学劳动和技能竞赛校级选拔赛,2022-05-14,http://www.cqwu.edu.cn/article_330852.html,教务处、校工会,1233
校领导看望慰问我校医护人员,2022-05-13,http://www.cqwu.edu.cn/article_330836.html,后勤管理处华龙康,839
【书记校长访企拓岗促就业】校领导带队赴重庆走访调研,2022-05-13,http://www.cqwu.edu.cn/article_330835.html,药学院王俊,838
校长黄伟九一行到教育学院调研指导学科建设工作,2022-05-13,http://www.cqwu.edu.cn/article_330827.html,教育学院刘霞,709
我校12名专家教授受聘为永川区中小学校科研副校长,2022-05-13,http://www.cqwu.edu.cn/article_330802.html,教育学院刘霞,1185
学校召开5月党建暨意识形态工作联席会,2022-05-12,http://www.cqwu.edu.cn/article_330757.html,党委宣传部,643
专升本联合培养学校协调会在我校召开,2022-05-12,http://www.cqwu.edu.cn/article_330756.html,招生就业处,730
重庆文理学院马克思主义学院与中共重庆市永川区委党校举行共建马克思主义与区域实践研...,2022-05-12,http://www.cqwu.edu.cn/article_330717.html,马克思主义学院宋亦薪,679
教育部官网报道我校环大学创新生态圈建设成果,2022-05-11,http://www.cqwu.edu.cn/article_330667.html,创新创业学院彭婧,708
学校召开2021-2022学年第二学期第二次教学工作例会,2022-05-11,http://www.cqwu.edu.cn/article_330597.html,教务处阮吉,764
我校组织师生观看庆祝中国共产主义青年团成立100周年大会实况直播,2022-05-10,http://www.cqwu.edu.cn/article_330594.html,团委肖靖雯、李莉、黄荣,579
学校召开2022年全面从严治党工作会议,2022-05-10,http://www.cqwu.edu.cn/article_330596.html,党政办公室陈洲,575
我校与四川省内江市东兴区签订战略合作协议和乡村振兴平台共建协议,2022-05-10,http://www.cqwu.edu.cn/article_330659.html,乡村振兴学院,540
校领导带队到材料科学与工程学院开展全面从严治党暨党风廉政建设工作调研,2022-05-10,http://www.cqwu.edu.cn/article_330666.html,材料科学与工程学院,415
我校联合华为技术有限公司举办教育部产学合作协同育人项目暨网络工程专业建设研讨会,2022-05-10,http://www.cqwu.edu.cn/article_330610.html,人工智能学院都安坤,471
首届巴渝品牌教授博士论坛暨文化传播赋能乡村振兴研讨会在我校举行,2022-05-10,http://www.cqwu.edu.cn/article_330593.html,文化与传媒学院王长武李芹燕,657
重庆市审计局来校检查指导工作,2022-05-10,http://www.cqwu.edu.cn/article_330595.html,审计处周进,462
学校受邀参加重庆乡村振兴智库联盟建设研讨会,2022-05-10,http://www.cqwu.edu.cn/article_330525.html,乡村振兴学院向飞,713
四川外国语大学相关领导来校调研交流,2022-05-10,http://www.cqwu.edu.cn/article_330526.html,招生就业处李树明,685
永川区委常委张小梅一行调研我校马克思主义学院,2022-05-09,http://www.cqwu.edu.cn/article_330419.html,马克思主义学院,858
学校开展2022年劳动教育月启动仪式,2022-05-07,http://www.cqwu.edu.cn/article_330397.html,教务处胡靖,1091
